session_id,timestamp,target_word,guess_word,token_distance,points_earned,accuracy_level,game_mode,category,hint_used
20250611_210448,2025-06-11T21:04:51.733296,,sad,90734,0,poor,normal,all,False
20250611_210448,2025-06-11T21:04:53.723996,,dad,18976,0,poor,normal,all,False
20250611_210448,2025-06-11T21:04:55.793413,,had,3918,6,poor,normal,all,False
20250611_210448,2025-06-11T21:05:01.265105,,bound,0,10,excellent,normal,all,False
20250611_210448,2025-06-11T21:05:05.991720,,happy,0,10,excellent,normal,all,False
20250611_210448,2025-06-11T21:05:09.371023,,sad,95073,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:12.610547,,what,12587,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:16.147662,,sleep,33044,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:19.679958,,bed,63883,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:26.706926,,want,1040,6,poor,normal,all,False
20250611_210448,2025-06-11T21:05:30.858276,,sleep,31656,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:33.979085,,a,90570,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:37.067036,,lot,77934,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:41.419146,,why,121052,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:45.023134,,am,181030,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:47.452279,,i,181271,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:51.271944,,wake,11084,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:54.191067,,now,172119,0,poor,normal,all,False
20250611_210448,2025-06-11T21:05:58.234563,,why,118029,0,poor,normal,all,False
20250611_210448,2025-06-11T21:06:05.550845,,fast,0,10,excellent,normal,all,False
20250611_210448,2025-06-11T21:06:09.253886,,sit,0,10,excellent,normal,all,False
