timestamp,session_id,game_id,round_id,guess_number,target_word,target_token_id,guess_word,guess_token_id,token_distance,semantic_category,points_earned,total_score,time_to_guess_ms,hint_used,game_mode,difficulty,category,target_word_length,guess_word_length,alphabetical_distance,is_correct,accuracy_level,educational_context
2025-06-11T21:04:51.733296,20250611_210448,unknown,unknown,1,,0,sad,121007,90734,all,0,0,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:04:53.723996,20250611_210448,unknown,unknown,1,,0,dad,49249,18976,all,0,0,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:04:55.793413,20250611_210448,unknown,unknown,1,,0,had,26355,3918,all,6,6,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:05:01.265105,20250611_210448,unknown,unknown,1,,0,bound,18791,0,all,10,16,0,False,normal,mixed,all,0,5,0,True,excellent,
2025-06-11T21:05:05.991720,20250611_210448,unknown,unknown,1,,0,happy,51917,0,all,10,26,0,False,normal,mixed,all,0,5,0,True,excellent,
2025-06-11T21:05:09.371023,20250611_210448,unknown,unknown,1,,0,sad,121007,95073,all,0,26,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:05:12.610547,20250611_210448,unknown,unknown,1,,0,what,13347,12587,all,0,26,0,False,normal,mixed,all,0,4,0,False,poor,
2025-06-11T21:05:16.147662,20250611_210448,unknown,unknown,1,,0,sleep,58978,33044,all,0,26,0,False,normal,mixed,all,0,5,0,False,poor,
2025-06-11T21:05:19.679958,20250611_210448,unknown,unknown,1,,0,bed,7594,63883,all,0,26,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:05:26.706926,20250611_210448,unknown,unknown,1,,0,want,72517,1040,all,6,32,0,False,normal,mixed,all,0,4,0,False,poor,
2025-06-11T21:05:30.858276,20250611_210448,unknown,unknown,1,,0,sleep,58978,31656,all,0,32,0,False,normal,mixed,all,0,5,0,False,poor,
2025-06-11T21:05:33.979085,20250611_210448,unknown,unknown,1,,0,a,64,90570,all,0,32,0,False,normal,mixed,all,0,1,0,False,poor,
2025-06-11T21:05:37.067036,20250611_210448,unknown,unknown,1,,0,lot,12700,77934,all,0,32,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:05:41.419146,20250611_210448,unknown,unknown,1,,0,why,60291,121052,all,0,32,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:05:45.023134,20250611_210448,unknown,unknown,1,,0,am,313,181030,all,0,32,0,False,normal,mixed,all,0,2,0,False,poor,
2025-06-11T21:05:47.452279,20250611_210448,unknown,unknown,1,,0,i,72,181271,all,0,32,0,False,normal,mixed,all,0,1,0,False,poor,
2025-06-11T21:05:51.271944,20250611_210448,unknown,unknown,1,,0,wake,189404,11084,all,0,32,0,False,normal,mixed,all,0,4,0,False,poor,
2025-06-11T21:05:54.191067,20250611_210448,unknown,unknown,1,,0,now,6201,172119,all,0,32,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:05:58.234563,20250611_210448,unknown,unknown,1,,0,why,60291,118029,all,0,32,0,False,normal,mixed,all,0,3,0,False,poor,
2025-06-11T21:06:05.550845,20250611_210448,unknown,unknown,1,,0,fast,10472,0,all,10,42,0,False,normal,mixed,all,0,4,0,True,excellent,
2025-06-11T21:06:09.253886,20250611_210448,unknown,unknown,1,,0,sit,72495,0,all,10,52,0,False,normal,mixed,all,0,3,0,True,excellent,
2025-06-11T21:09:39.377880,20250611_210935,unknown,unknown,1,,0,cold,178320,0,all,10,10,0,False,normal,mixed,all,0,4,0,True,excellent,
